Name,Description,Type,Unit
<activity>-hourOfWeekend-7-avg,Accelerometer-derived <activity> 07:00 - 07:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-8-avg,Accelerometer-derived <activity> 08:00 - 08:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-9-avg,Accelerometer-derived <activity> 09:00 - 09:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-10-avg,Accelerometer-derived <activity> 10:00 - 10:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-11-avg,Accelerometer-derived <activity> 11:00 - 11:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-12-avg,Accelerometer-derived <activity> 12:00 - 12:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-13-avg,Accelerometer-derived <activity> 13:00 - 13:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-14-avg,Accelerometer-derived <activity> 14:00 - 14:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-15-avg,Accelerometer-derived <activity> 15:00 - 15:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-16-avg,Accelerometer-derived <activity> 16:00 - 16:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-17-avg,Accelerometer-derived <activity> 17:00 - 17:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-18-avg,Accelerometer-derived <activity> 18:00 - 18:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-19-avg,Accelerometer-derived <activity> 19:00 - 19:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-20-avg,Accelerometer-derived <activity> 20:00 - 20:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-21-avg,Accelerometer-derived <activity> 21:00 - 21:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-22-avg,Accelerometer-derived <activity> 22:00 - 22:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-23-avg,Accelerometer-derived <activity> 23:00 - 23:59 weekend proportion average,numeric,proportion of time
